The worst-case time, in milliseconds, are
n 	Repetions 	elapsedTime 	Time per sort
 0	76448612	1000	1.30807e-05
10	1490060	1000	0.000671114
20	427361	1000	0.00233994
30	192834	1000	0.00518581
40	97814	1000	0.0102235
50	66192	1000	0.0151076
60	48417	1000	0.0206539
70	38104	1000	0.026244
80	29093	1000	0.0343725
90	23277	1000	0.0429609
100	18440	1000	0.0542299
200	4752	1000	0.210438
300	2104	1000	0.475285
400	1202	1000	0.831947
500	748	1000	1.3369
600	532	1000	1.8797
700	386	1000	2.59067
800	300	1000	3.33333
900	239	1001	4.18828
1000	194	1004	5.17526
