The worst-case time, in milliseconds, are
n 	Repetions 	elapsedTime 	Time per sort
 0	84626099	1000	1.18167e-05
10	1684741	1000	0.000593563
20	337622	1000	0.00296189
30	196138	1000	0.00509845
40	109521	1000	0.00913067
50	73196	1000	0.0136619
60	51178	1000	0.0195396
70	36893	1000	0.0271054
80	29316	1000	0.0341111
90	23164	1000	0.0431704
100	18856	1000	0.0530335
200	4787	1000	0.208899
300	2068	1000	0.483559
400	1200	1000	0.833333
500	750	1000	1.33333
600	536	1001	1.86754
700	393	1001	2.54707
800	300	1003	3.34333
900	231	1000	4.329
1000	195	1005	5.15385
