The worst-case time, in milliseconds, are
n 	Repetions 	elapsedTime 	Time per sort
 0	96522705	1000	1.03603e-05
10	4729276	1000	0.000211449
20	1358021	1000	0.000736366
30	605813	1000	0.00165067
40	345683	1000	0.00289282
50	219859	1000	0.00454837
60	154047	1000	0.00649153
70	113746	1000	0.00879152
80	87164	1000	0.0114726
90	70283	1000	0.0142282
100	56759	1000	0.0176184
200	14391	1000	0.0694879
300	6666	1000	0.150015
400	3701	1000	0.270197
500	2429	1000	0.411692
600	1701	1000	0.587889
700	1257	1000	0.795545
800	961	1000	1.04058
900	    758	  1000	1.31926
1000	612	 1001	1.63562
