The worst-case time, in milliseconds, are
n   	Repetions 	     elapsedTime 	Time per sort
 0	    113761131	1000        	8.79035e-06
10	    4302216 	1000        	0.000232438
20	    1231809 	1000	        0.000811814
30	    497455  	1000        	0.00201023
40	    300612  	1000        	0.00332655
50	    202857  	1001        	0.00493451
60	    146656  	1000	    0.00681868
70	    113532  	1000	    0.00880809
80	    85617   	1000	    0.0116799
90	    67769   	1000	    0.014756
100	    55663   	1000	    0.0179653
200	    14941   	1000	    0.0669299
300	    6743    	1000	    0.148302
400	    3856    	1000	    0.259336
500	    2462    	1000	    0.406174
600 	1729    	1000	    0.578369
700 	1269    	1001	    0.78881
800 	973        	1000	    1.02775
900 	756	         1000	    1.32275
1000	615	        1000	    1.62602
